,Number,Line,Sample,CODE,No leaves,Diameter,Perpendicular,Height,Max. Temp.,Min. Temp.,Mean. Temp.,Max. Hum.,Min. Hum.,Mean. Hum.,Combined Temperature Average,Combined Temperature Std Dev,Combined Humidity Average,Combined Humidity Std Dev,BBCH,Average Leaf Thickness
2024-09-14,9,2,W,RWGRC2,16,20.9,19.6,11.5,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,10,2,W,RWGRB4,14,23.6,20.7,12.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,11,2,W,RWGRC5,13,19.2,18.1,11.8,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,37,0.0
2024-09-14,12,2,W,RWGRB1,12,20.1,19.8,12.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,37,0.0
2024-09-14,13,2,W,RWGRC4,14,18.9,19.6,10.7,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,37,0.0
2024-09-14,14,2,W,RWGRB2,11,14.7,11.7,10.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,45,0.0
2024-09-14,15,2,W,RWGRA1,15,17.9,17.1,11.4,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,17,0.0
2024-09-14,16,3,N,RNGRA3,12,21.2,13.8,12.5,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,17,3,N,RNGRB5,13,23.6,22.4,12.8,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,18,3,N,RNGRC4,15,21.5,20.4,13.1,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,19,3,N,RNGRA1,13,17.5,15.6,11.8,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,17,0.0
2024-09-14,20,3,N,RNGRC5,14,21.1,17.8,12.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,21,3,N,RNGRB2,12,18.4,18.9,11.9,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,17,0.0
2024-09-14,22,3,N,RNGRA2,12,21.2,17.7,10.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,23,4,N,RNROB2,9,18.8,14.1,11.6,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,24,4,N,RNROC3,9,16.4,15.8,11.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,25,4,N,RNROA5,7,13.3,11.2,8.1,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,26,4,N,RNROC5,9,16.7,15.8,11.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,27,4,N,RNROB3,8,18.7,15.2,9.6,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,28,4,N,RNROA1,5,9.6,7.8,7.1,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,29,4,N,RNROC1,9,15.3,12.5,11.2,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,30,5,N,RNGRC1,15,20.7,19.2,13.4,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,31,5,N,RNGRB3,14,21.1,16.4,13.8,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,32,5,N,RNGRA5,11,15.4,17.1,12.8,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,33,5,N,RNGRB1,12,21.2,17.4,13.6,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,34,5,N,RNGRC3,14,20.2,22.4,13.1,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,35,5,N,RNGRB4,15,19.4,17.8,11.4,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,36,5,N,RNGRA4,10,15.4,12.7,12.9,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
2024-09-14,37,5,N,RNGRC2,12,17.9,20.2,13.3,36.1,18.6,24.875,34.8,18.3,27.07916666666667,21.976984126984124,2.458189059527555,56.90106516290727,9.096700222879068,19,0.0
